configName      Platooning
iniFile         omnetpp.ini
processID       3871
runID           Platooning-0-20191231-13:24:17-3871
totalRun        1
currentRun      0
currentConfig   Platooning
sim timeStep    100 ms
startDateTime   2019-12-31 13:24:17.716
endDateTime     2019-12-31 13:24:33.716
duration        0 hour, 0 minute, 15 second


index          timestamp      vehId          pltMode        pltId          pltDepth       pltSize        pltOptSize     pltMaxSize     
48             1.70           veh1.3         3              veh1           3              -              -              -              

49             1.70           veh1.4         3              veh1.4         0              2              4              10             
49             1.70           veh1.5         3              veh1.4         1              -              -              -              

50             1.80           veh            3              veh            0              3              4              10             
50             1.80           veh.1          3              veh            1              -              -              -              
50             1.80           veh.2          3              veh            2              -              -              -              

51             1.80           veh1           3              veh1           0              4              4              10             
51             1.80           veh1.1         3              veh1           1              -              -              -              
51             1.80           veh1.2         3              veh1           2              -              -              -              
51             1.80           veh1.3         3              veh1           3              -              -              -              

52             1.80           veh1.4         3              veh1.4         0              2              4              10             
52             1.80           veh1.5         3              veh1.4         1              -              -              -              

53             1.90           veh            3              veh            0              3              4              10             
53             1.90           veh.1          3              veh            1              -              -              -              
53             1.90           veh.2          3              veh            2              -              -              -              

54             1.90           veh1           3              veh1           0              4              4              10             
54             1.90           veh1.1         3              veh1           1              -              -              -              
54             1.90           veh1.2         3              veh1           2              -              -              -              
54             1.90           veh1.3         3              veh1           3              -              -              -              

55             1.90           veh1.4         3              veh1.4         0              2              4              10             
55             1.90           veh1.5         3              veh1.4         1              -              -              -              

56             2.00           veh            3              veh            0              3              4              10             
56             2.00           veh.1          3              veh            1              -              -              -              
56             2.00           veh.2          3              veh            2              -              -              -              

57             2.00           veh1           3              veh1           0              4              4              10             
57             2.00           veh1.1         3              veh1           1              -              -              -              
57             2.00           veh1.2         3              veh1           2              -              -              -              
57             2.00           veh1.3         3              veh1           3              -              -              -              

58             2.00           veh1.4         3              veh1.4         0              2              4              10             
58             2.00           veh1.5         3              veh1.4         1              -              -              -              

59             2.10           veh            3              veh            0              3              4              10             
59             2.10           veh.1          3              veh            1              -              -              -              
59             2.10           veh.2          3              veh            2              -              -              -              

60             2.10           veh1           3              veh1           0              4              4              10             
60             2.10           veh1.1         3              veh1           1              -              -              -              
60             2.10           veh1.2         3              veh1           2              -              -              -              
60             2.10           veh1.3         3              veh1           3              -              -              -              

61             2.10           veh1.4         3              veh1.4         0              2              4              10             
61             2.10           veh1.5         3              veh1.4         1              -              -              -              

62             2.20           veh            3              veh            0              3              4              10             
62             2.20           veh.1          3              veh            1              -              -              -              
62             2.20           veh.2          3              veh            2              -              -              -              

63             2.20           veh1           3              veh1           0              4              4              10             
63             2.20           veh1.1         3              veh1           1              -              -              -              
63             2.20           veh1.2         3              veh1           2              -              -              -              
63             2.20           veh1.3         3              veh1           3              -              -              -              

64             2.20           veh1.4         3              veh1.4         0              2              4              10             
64             2.20           veh1.5         3              veh1.4         1              -              -              -              

65             2.30           veh            3              veh            0              3              4              10             
65             2.30           veh.1          3              veh            1              -              -              -              
65             2.30           veh.2          3              veh            2              -              -              -              

66             2.30           veh1           3              veh1           0              4              4              10             
66             2.30           veh1.1         3              veh1           1              -              -              -              
66             2.30           veh1.2         3              veh1           2              -              -              -              
66             2.30           veh1.3         3              veh1           3              -              -              -              

67             2.30           veh1.4         3              veh1.4         0              2              4              10             
67             2.30           veh1.5         3              veh1.4         1              -              -              -              

68             2.40           veh            3              veh            0              3              4              10             
68             2.40           veh.1          3              veh            1              -              -              -              
68             2.40           veh.2          3              veh            2              -              -              -              

69             2.40           veh1           3              veh1           0              4              4              10             
69             2.40           veh1.1         3              veh1           1              -              -              -              
69             2.40           veh1.2         3              veh1           2              -              -              -              
69             2.40           veh1.3         3              veh1           3              -              -              -              

70             2.40           veh1.4         3              veh1.4         0              2              4              10             
70             2.40           veh1.5         3              veh1.4         1              -              -              -              

71             2.50           veh            3              veh            0              3              4              10             
71             2.50           veh.1          3              veh            1              -              -              -              
71             2.50           veh.2          3              veh            2              -              -              -              

72             2.50           veh1           3              veh1           0              4              4              10             
72             2.50           veh1.1         3              veh1           1              -              -              -              
72             2.50           veh1.2         3              veh1           2              -              -              -              
72             2.50           veh1.3         3              veh1           3              -              -              -              

73             2.50           veh1.4         3              veh1.4         0              2              4              10             
73             2.50           veh1.5         3              veh1.4         1              -              -              -              

